,corrected
47,"Cielos, mi abuelo pagó seis mil dólares para algo que casi no tiene valor alguno. Cómo, ¿cómo puede ocurrir algo semejante?"
48,Vale
49,"Vale, sí, ten cuidado. "
50,Y ha venido un tal señor Ley para verla
51,"No te preocupes, tiene que haber otro lugar donde compren oro cerca"
52,"Al suelo, mire, ¿qué estás? Uy, estaba haciendo un simulacro. Les estaba poniendo en prueba, buen trabajo."
53,"Hagámoslo. Stan, abróchame el sostén"
54,Y calla. ¿Y qué operación está llevando a cabo CIA en Argentina?
55,¿Y por qué nosotros? ¿No es mejor que quede en casa en la CIA?
56,"""¿Por qué no les gritan a los encargados de fundir el oro? El refrán hindú dice:""""quien lo fundió, lo generó"""""""
57,"No, les maquillaron los de la CIA que les queda muy realista"
58,"Como una mujer despechada, ¿te acuerdas de que te despeché un poco la última vez que nos vimos?"
59,Es cierto
60,"Caray, conduce de puta pena"
61,"Esta Lana, mira que montar esto solo para que le llamara y pidiera ayuda. Y Slate con sangre falsa. Qué pena da el pobre"
62,¿Dónde está?
63,"Y bien, qué está pasando allí"
64,Claro que sí. ¿Puedo cogerla?
65,"Mmm, pero estás guapa, más rellenito de lo que recuerdo"
66,"Cuenta, coge lo que necesites, me figuro que unas pilas nuevas, y vamos a sacarte da aquí."
67,"No, no dispares. Allí está el bebé"
68,¿Haber cruzado el río grande?
69,"Sí, aquí hay uno"
70,"Vagamente. Pero si lo que quieres es venganza, ¿por qué no me matas?"
71,Pero hay otras mesas
72,"Oye, oye, tienes que escuchar, no sé qué pasa aquí, pero tienes que darme la niña."
73,"Corten, perdón, voy de nuevo. Intento decir que deberíamos tener diez ligas de sarcasmo bol y así todos pueden jugar. ¡Ah, mierda!"
74,Voy a pedir refuerzos
75,"¿Podríamos dejarlo ya, por favor?"
76,"Oh, bien, Cutters. Es la brújula de amistad. Cuando hay amigos tuyos en el área, tu pequeña brújula indica donde están. Apunta hacia arriba, porque Jesús es tu amigo"
77,No tengo el urdu tan fresco como pensaba
78,"Joder, en fin, dudo que el robot tenga Bourbon y no me áptese tres en uno con cola, al menos que no haya, literalmente, nada más que beber"
79,Eso dije yo
80,"A caso no ven. Ya que estamos en esto, deberíamos reemplazar el balón por un globo. Y quién atrape el globo correrá mientras el resto de los jugadores se abrazan"
81,En tu casa
82,Esperé que ya haya pasado. Creía que iban a reformar este sitio
83,"Ha contratado a un canguro, hola soy Maní"
84,"Oh, no porque bastante tenías con tirarte a acero, luego a cristal o"
85,"Mucho, venga, ahora meta la secuencia de datos..."
86,Me busco a una canguro
87,"Chicos, no entiendo el futbol. Por eso, creo que soy mal jugando"
88,"Después de apuñalarme, literalmente, por la espalda"
89,Quiero decir que esa es la única puerta
90,"No, en esto no. ¿Qué hay del interior cremoso que nos hablaste? Esa que creemos que llevas dentro y que hace que seamos mejor jugadores del mundo"
91,"Este gran juego no se basa en jugadas. Se basa en camaradería y en la compasión. Y cuando miro en este vestidor, veo algunos de los chicos más amables y compasibles que he conocido. Tú Ken, eres más amable que cualquiera y Cuide, tú, abrazas mejor que cualquiera en este campo de juego"
92,"Oh, parece que algunos ex jugadores de NFL están entrando al campo. Está Martín Gregor por seguridad y el defensor Jim Harris. Parece que lleva los pantalones en tobillos. Alguien debería avisárselo. Y el excelente Mike Tetilla que parece estar horneando un pastel imaginario"
93,"No, es quien lo negó, lo proveyó"
94,¡Está en la caja fuerte!
95,¿Qué ha dicho?
96,"No me jodas, Mani"
97,Te pido que no sigas
98,"Oh, por Dios bendito"
99,"Ciérrate la boca, eres un idiota"
100,"Ah, lo siento, da igual"
101,"Gracias, doctor, muchas gracias"
102,¿Es un actor?
103,¡Duro con ellos! ¡Amor con compasión!
104,"Sé positivo, Stan. Chicos, abrácense, abrácense. ¿Bien, qué está ocurriendo aquí?"
105,¿De dónde te sacas las veinte copas?
106,No
107,¿Por qué iba a traer cerveza?
108,Caracterizar este plan
109,"Así, claro, como él exagera cada enfermedad que tiene"
110,Lo hablaremos cuando crezcas
111,Deberían a avergonzarse por la gente que explotan en nuestro país. ¿Cómo se atreven a aprovecharse de los menos afortunados?
112,"Oh, parece que te divertiste mucho"
113,¿Eh?
114,"No, no, no, me jode"
115,Mira
116,"Archero, cierra el pico. Vas a ponerte bien"
117,Y no le hagas daño
118,"Stan, Stan"
119,"Oh, ah... Tres dólares"
120,"Te iba a ofrecer una copa, pero solo tengo tequila y licor de café"
121,Sí
122,Este juego es estúpido. No tengo ni idea de cómo salir al campo y ser amable con los del otro equipo
123,"No, a ellos les joden las mujeres asiáticas"
124,No
125,No entiendo cómo alguien puede jugar a esto con sinceridad
126,Y yo no lo he visto ni hoy
127,"Claro que lo vamos a hablar luego, te lo prometo"
128,"En mi casa no, y por cierto. ¿Qué hacéis en ella? ¿Y quién es este?"
129,"Pues, como la vuelvas a asustar, vas a ver cómo te disparan a ti"
130,"Sí, pero no puedo ser el capitán. Soy malo en todo"
131,Iba a decir excesivo
132,"Durante siglos, los alquimistas han intentado crear la fórmula para crear oro. Quien pudiera crearla se volvería rico. Y ahora esta ecuación química está frente a sus ojos"
133,¿Tenéis el disco?
134,"Sí, abuelo"
135,Qué tontería de conversación
136,"Se lo diré de todas formas, lo estoy usando para colocar mi programa de espía ultramoderna en la sede de CIA para que la inteligencia paquistaní sepa todo lo que hacen en tiempo real"
137,¿A mí o a él?
138,"Vale, haremos lo siguiente"
139,"Por su puesto, coronel Cal. Espere, Landó Cristiano"
140,"El entrenador Martín se acerca para decírselo, pero parece que Jackson cree que está en su auto regresando a casa. Mientras esperamos nos alegra poder recibir el comisionado de NFL, Roger Cooley. Comisionado, mucho abarató para conmociones este año en la NFL. ¿Cómo maneja la liga todo esto?"
141,"Sí, el otro equipo tenía una delantera tan ofensiva que me asustó mucho"
142,Buena suerte con las cartas sangrientas
143,"No, no podemos. Quiero saber por qué deseas que no sea madre"
144,"Claro, Eric"
145,"No se compra, hombre, sé"
146,Esta vez han podido con el pobre Landó. Estoy acabado
147,¿Abuelo?
148,¡Eh! ¿Es mucho pedir durante la maldita jordana laboral dos sesiones de ochenta minutos sin interrupciones para cagar?
149,"Oye, niño, si tienes un problema con el sistema, estás en un lugar equivocado. Aquí solo fundimos lo que nos envían de los lugares de compra de oro"
150,"No, es. Blindado"
151,Ya si estuviera
152,Vale
153,Y sigo sin ver por qué tengo yo que cargar del pibe
154,"Lo sé, habría deseado que me hubiera regalado el dinero en vez de esta corbata"
155,"Pues, sácale los ojos, ¿vale?"
156,"Ojalá siguiera entre nosotros. Podría haber parado algunas balas. ¡Por Dios! En fin, van ocho incluidas la que está en mi hombro, así que"
157,Eso es porque es muy gruño y negativo para creerlo. Necesita una bebida deportiva que eleve sus niveles de humanidad y bondad
158,"Cago en la leche. Hay, pistola!"
159,"Bueno, Cuenta, ganas este salto"
160,Yo soy notaria
161,¿Por qué...? Da igual
162,"Oh, sí soy el que inventó el sarcasmo bol. No hay manera de que sepa cómo entrenarlos"
163,"¿Ves eso, Villi? Es una esmeralda en oro de catorce quilates. ¿Crees que le gustaría algo así a tu hermanita?"
164,Sí ya la tengo. ¡Qué bien!
165,Esos tíos. ¡Qué imbéciles! ¿No?
166,Parece que quiere ocultarlo
167,¿Es de Pakistán?
168,Lo dije
169,No me jodas
170,"Esta bolsa es de ropa, esa de pañales, en la nevera hay leche materna que excuso de ti"
171,Mira
172,"Sí, sí, la mamá, no él jodía"
173,"Y luego cuando intenten agradecernos por los clavos, les decoremos que no se agradezca porque hicimos lo correcto, y luego les sonreiremos"
174,"Así es, quien lo rimó, nos timó"
175,"¿Tiene idea de como se sentiría comenzar a perder sus recuerdos? No, porque ninguno de sus familiares está sufriendo de Alzheimer, pues yo sí"
176,¿Qué? ¿Por qué?
177,Desde luego estás conmocionado
178,"Oye, oye, venga, seguro que, esperad, que no has secuestrado al bebé. ¿Pero de verdad en la buena?"
179,"No señor Archero, ni hablar, no hasta que me lleve a la sede de ISIS para que pueda acceder al ordenador central"
180,"Para, estate quieto, para"
181,Vamos a hablar de beber tres litros de mexicanos negros antes de conducir con tu hija y un actuante dentro
182,"Detrás de la barra, deja de gritar"
183,"No, gracias, no debería"
184,¿Y por qué tú y yo no nos liamos la última vez que trabajamos juntos?
185,¡Sterling!
186,Horario Kane
187,"Y yo, pero alguien me traicionó, una aspirante cantante de Country mentirosa"
188,¿Su hija es tuya?
189,"Es Sterling Archero, este es Barak Ascanio"
190,En Canadá funciona
191,"En serio Brandy, creo que este deporte le hizo algo de daño a tu cerebro"
192,"Muy heroico, lo sé"
193,"¿Tú sabes cómo eres? Si es alguien de aquí, seré yo"
194,Y quítate ese chisme tan ridículo
195,"En serio, bueno, como decía"
196,"No, esperad, el osito está por aquí, o estaba. Os juro que… ¿Osito?"
197,Como... No lo recuerdo
198,"Y cuando el otro equipo intenta acercarse, tendremos que hacer un esfuerzo, llegar a nuestro centro cremoso. Es el lugar que tenemos adentro en que se encuentra todo el amor y felicidad que debemos usar para ser los jugadores más amables y compasivos que el mundo haya visto. Y sabrán que no caemos tan fácilmente"
199,"¿Qué, qué? ¿Oh? ¡Oh! ¡Papá! Volvió a ocurrir. Volvió a salirse mi cremosidad"
200,"Vamos es que no va armado, es lo que quiero decir"
201,"Caballeros, creo que confunden mi hospitalidad con debilidad. El precio es el precio, si quieren negociar, pueden hacerlo con mis socios"
202,"Rieger, andábamos allí cuando fui a buscar hielo. Vamos al laboratorio de ese monstruo"
203,"¿Cutters, tu cremosidad funcionará en otra persona?"
204,"Oro de catorce quilates, o sea catorce dólares al gramo en el mercado, tenemos unos cuatro gramos. Esto es una pérdida de tiempo. Puedo ofrecerte un burrito de seis capas por esto"
205,Lucen bien muchachos. ¡A patear culos!
206,"¿Y cuándo? ¿Por qué no quieres hablar de ello, Lana?"
207,¿Estáis jugando al Stripe póquer?
208,¡Eh!
209,Y por lo visto le va muy bien
210,"Un momento, ¿cuánto pagó por estas joyas?"
211,lo haber dicho antes
212,"Porque estaré sin móvil, así que si ves que no eres capaz de "
213,"Bien amigos, estamos a la mitad de nuestra transmisión de hoy. ¿Quieren aprovechar las ofertas? ¡Llamen ya!"
214,¡Díselo a él!
215,¿Qué?
216,El señor Slate
217,"¿Un poco? Nos mandaste a un… espera, nos seguiste hasta aquí"
218,"Vaya, igual de ridículo"
219,"Ronde, era el que estaba pensando"
220,Mal y en exceso
221,Y con eso los Brown están listos para batir el balón contra los Broncos
222,"Ahora soy un verbo, Lana. Acepta la idea. Y de paso, cúbreme por favor"
223,"Gente, escuchen todos. Hay algo que deben saber acerca del sarcasmo bol, es un juego totalmente seguro, sí superseguro, es tan seguro que cada niño de país debería jugarlo"
224,¿Se ha ido?
225,"Pues, venga, subid atrás. Tengo un avión esperando"
226,"Pues ahora que lo dices, sí se le veía un poco nervioso"
227,"Sí, Cuenta Sterne. ¿Preguntas?"
228,Pero creía que era algo racista
229,"Fue bueno, Pitón, pero hay que mejorar"
230,¿De dónde? ¿Del coño de tu madre?
231,¿Cómo los llamas?
232,Tendríamos que habernos ido antes
233,¿No es el sueño improvisadle?
234,¡Cuenta Sterne!
235,Que las masticaras primero y se las escupieras en la boca
236,Y ya estoy haciendo de canguro de que claramente sí es un bebé
237,Porque es dónde se producen 80 % de los accidentes domésticos
238,Creía que era la cuija
239,Verás Slate. Cuando unos papás se quieren mucho...
240,Tecnología falsa que queríamos que China tuviera. Llevan años estudiando el propulsor de antimateria
241,Sí
242,"Eres un traidor, hijo de puta"
243,Pero te lo dije por tu bien
244,"A ti, te he quitado un punto porque Paz estaba dando a AJ salchichas para comer"
245,Perdón es que he visto cómo dispararon a un tío
246,"No sé qué le ocurrió, en fin, venimos a buscar unas cosas de la niña. Así que vamos a cogerlas. ¿Maní?"
247,En los cojines de sofá no he estado
248,Y aquí están las malditas animadoras de Denver
249,¿De quién es esa pistola?
250,No esta mal te voy a poner un siete
251,Yo creo que lo he bordado
252,"Recordadme que si ese desgraciado no os mata a todos, lo haga yo"
253,Pero
254,Mi salchicha está dura como una flecha
255,"Además, dudo que hable mucho cuando le haya pegado un tiro en la cara"
256,"Rayos, esto es genial, mi semana acaba de mejora mucho"
257,"Oh, les encantará. Un deporte en donde solo importa la seguridad. ¿Por qué no le llamamos sarcasmo bol?"
258,¿Y Woodhouse?
259,¿Cómo es que sigues teniendo dos manos? ¡Hijo de puta!
260,¿Pero el gran juego contra? este sábado
261,"Con usted, cuesta distinguir"
262,"Espera, ¿Argentina no es un aliado nuestro?"
263,"Vale, os voy a explicar todo eso"
264,"Por favor, es un esqueleto de bebé"
265,"Idiotas, hijos de puta, conmigo está el presidente de Brasil y su esposa. Y mirad, aquí, sucia, sucia. Toda, todas las armas al suelo"
266,"Hay que ver, qué generoso"
267,"No estamos siendo sarcástico papá. ¿Es tan difícil creer que realmente disfrutamos de un juego sin violencia? ¿Te cuesta tanto creer que cuando Cutters dice que la competitividad no puede estar compasiva, está siendo sincero?"
268,"Perdón, perdón, momento, no debo ser sarcástico. Volveré a intentar. Escuchen todos, si permiten que sus hijos jueguen a sarcasmo bol, son unos genios."
269,¿Practicar un lunes? ¡Justo lo que yo quería hacer!
270,"Lana, supongo que era una analogía deportiva para hacernos de menos, pero aceptamos la misión. ¿Verdad Sterling?"
271,Y por qué tienes el botiquín en la barra
272,Romperé el cristal
273,"Amigo, es superguay"
274,"Es cierto, Eric me dice que debería ser una mujer por lo malo que soy"
275,Alguien está en la cabeza de todo esto y alguien tiene que pagar. Solo estoy pidiendo una maldita retribución para mi maldito abuelo
276,Literalmente
277,"Me figuro que mientras te mato a golpes literalmente, espera, sí literalmente, la mano gigante cambiará mi selector de medio cañero a mega cañero"
278,"Pues claro, es un cíborg, seguro que la clave era..."
279,¿Hablando de qué?
280,"Joder, Archero"
281,De verdad en la buena
282,¿Y no crees que parecemos recién salidos de un culebrón brasileño?
283,Mejor me voy
284,¿Cómo se pierde un bebé?
285,"Por Dios, pibe, ya te oigo"
286,"Cartean, eres idiota"
287,Qué esmeralda le gusta
288,"Vivian, acabas de conseguir un regalo. ¿Cómo es tu apellido, corazón?"
289,"De acuerdo, de siete capas, pero esto es mi mejor oferta"
290,Eso no es excusa... ¿Espera esa es tu excusa?
291,¿Más joven?
292,Busca ya una botella de la cremosidad de Cutters
293,¿Por qué no te callas?
294,¿Dónde se comprará la leche materna?
295,Y no es lo que quiero decir yo
296,Eres él que está desangrando
297,Es viernes por la noche. ¿Por qué coño hay gente aquí todavía?
298,"Civil, ponle a cría salvo"
299,"Bueno, yo lo llamaría un éxito relativo"
300,"¿Entonces, llamemos a ? Para decirles que nos retiramos"
301,"¡Idiota, todavía no come sólidos!"
302,No Kane con K sino
303,¿Cómo dices?
304,"De la pequeña J, ha desaparecido"
305,¿Mm? ¡Oh!
306,"Sí, es muchísimo pedir"
307,"Ah, bien hecho, árbitros del juego"
308,"Porque resulta que conocéis a la gente en cuestión. ¿Eh, le importa?"
309,Y qué significa
310,¿Qué misión? ¿Vender tecnología militar confidencial a los chinos?
311,"Sí, Lana, ahora si tú me disculpas necesito atención médica con bastante urgencia, por tu culpa"
312,Estaba teniendo un sueño feliz con una chica y…
313,"Cuarenta y dos, rojo trece, pensamientos felices, felices para todos"
314,"Como comisionado de NFL, me entusiasma ver que la juventud de nuestro país acepta el sarcasmo bol sobre el futbol tradicional. ¿Pero, por qué detenernos allí? Como futbol es de bárbaros, nosotros deberíamos cambiar también. Le damos la bienvenida al nuevo entrenador de Broncos de Denver, Brandy Marso. Felicitaciones Marso, buen trabajo"
315,"¿Bien, qué haces aquí para empezar?"
316,"Eh, oigan. No puedo creer lo que oigo. Practicamos y preparamos para este juego y quieren rendirse."
317,"Porque sí, imbécil, resumiendo nos has cerrado en la limusina de las narices"
318,"Por lo menos Woodhouse, sí"
319,¿Por qué me pegas?
320,Muy buen negocio. Es muy listo
321,"Oye, lo de la mamada"
322,"Sea cual sea la misión, ISIS está a la altura. Somos profesionales y"
323,"Cállate, vosotros sacad a AJ y dejadme a mí el resto"
324,¿Qué tenéis el disco?
325,Vale
326,¿Ah?
327,¿Quién?
328,"Bien, Eric. Ya te dije que todos tenemos un interior cremoso de donde provienen todos los sentimientos de compasión y felicidad. ¿Tu papá nunca te lo dijo?"
329,Porque no quieres que beba licores
330,"No le gustan las joyas, abuelo"
331,¿Y no es porque te gusta llevar ese bi gotón cutre?
332,"A ver, es que se lo voy a explicar"
333,"Sube al auto, Stan. Nos vamos a la casa"
334,A mí no me grite que no la he perdido. Intente volver sobre sus patos
335,"Seguro que no cuentan que también cambio pañales, así que..."
336,"De acuerdo, pero porque yo quiero. Uno de nuestros, pues supongo que podemos llamarlos freelance."
337,¡Por Dios!
338,Cago en la leche que no te voy a hacer una mamada
339,"Tengo tres en la saca, necesito cuatro para el finde, me voy a Tailandia"
340,Archero
341,"¿Cómo va todo? ¡Increíble! Nadie sale lastimado, los niños están aprendiendo lecciones valiosas sobre abrazos y seguridad, porque de eso se trata el mundo"
342,Sucios hijos de puta traicioneros. ¿Quieren dejarme fuera? Me robaron la fórmula y luego intentaron joderme. Cutters!
343,¿Por qué has hecho esto?
344,El mexicano negro
345,No tengo papá
346,"Sí, es increíble estar en tu programa"
347,Así que haces improvisaciones
348,"Y si les pasa algo a ellos, viviría con mi hermana"
349,"¿Pero cómo sabían dónde? ¿Por Dios, habrá un topo en la CIA?"
350,"A él, Slate dice que has estado genial"
351,"Porque así lo siguiente será mucho más fácil, bueno para mí"
352,Me voy
353,"Lo siento chicos, mi papá dice que está muy ocupado con los Broncos, no tiene tiempo"
354,Uno de los dos debería
355,Coño
356,"Lo han entendido mal. Las joyas que venden en esos canales ni siquiera son las nuestras. Son de la India, del mismo lugar de qué proviene sus refranes"
357,"Hola, ¿cuánto me ofrecerías por esto?"
358,Pero cuando veas que no. ¡Cállate! Esto es el número de centros de CIA de un empleado que vendrá a avisarme
359,Aunque disfrutar no sea literalmente
360,¿Qué?
361,"¿Sí, Saben qué? ¡Al carajo!"
362,Tienes razón. A lo mejor así te liberas de tu energía negativa
363,"Ya gracias, señor craqueos"
364,"¿Y por qué, por qué la tienes tú?"
365,"Archero, eso es "
366,¿Qué? Creía que significaba lo siento. Se ve que por eso aquella noche en el burdel de carraca pasó de repente de malísima a mucho peor
367,Solo Slate
368,"No, es que aquí hace un calor de cojones"
369,De acuerdo
370,"Por favor, no se les pueda contar nada"
371,¿No?
372,Eso es
373,"A sí, eso tiene más sentido"
374,¿El qué da igual?
375,Y cien grandes
376,"¿Cómo que no? Y se ve que es una bromista, pero le aseguro señor Archero, que todo esto es muy real"
377,"Bueno, conmigo está el presidente de Brasil y su esposa grande"
378,Ahora se lo voy a decir a CIA y encontrarán el programa espía
379,No
380,Creía que era en tono irónico
381,No
382,Bien dicho
383,"No, no, no puedes hacerte verbo, no te lo consiento"
384,"Claro, le hizo algo a mi cerebro y ahora no puedo parar de ser sarcástico"
385,"¿Y de dónde viene lo de piso franco, verdad? Tendrían que llamarlos pisos sin nombre. Pero aquí estoy a salvo, ¿no?"
386,"Mm… vale, pero luego seguimos mi plan"
387,"Y como le hayas tocado un solo pelo en su cabecita castaña, te voy a"
388,"Sí, esa Ley te da secas, una sola palabra y…"
389,¿Cómo?
390,"Es Slate a secas y esperé. ¿Perdona, vamos a tener un problema tú y yo?"
391,Cago en la leche
392,¿Y eso?
393,Fue a apuntado con la pistola
394,¿Tienes una hermana?
395,La madre que te parió
396,¿A dónde creía que va? 
397,"Espera, sí, literalmente"
398,"No te preocupes, abuelo, yo me encargare de esto"
399,¿Qué?
400,"¿Cómo va todo, entrenador?"
401,Para mí que fue Rieger
402,"Sí, sí, hagamos esto, la economía está en excusado, se acerca una elección importante, pero la prioridad de este país debe ser que el futbol sea más seguro"
403,"Mis bolas, mis bolas, chúpalas"
404,"Bien, papá. Lo guardaré para después."
405,Ya pero
406,"Su identificación, coronel"
407,"Espere, espere"
408,"Oh, por un momento creía que erráis Lana"
409,"No se puede, lo siento, no hay investigaciones que determinen los efectos del sarcasmo al cerebro"
410,¿Sabe qué? Tengo un paciente de cincuenta años con Alzheimer esperándome que no recuerda ni a su familia. Olvidémonos de él y concentrémonos en los supuestos efectos del sarcasmo bol en el cerebro
411,"Venga, Archero, 24 horas"
412,Y ese brazalete de tanzanita nueve noventa y cinco
413,¡Ustedes son la escoria del mundo! ¡Los ancianos son víctimas de canales de venta y ustedes descansan en sus mansiones y ganan billones!
414,¿Nos vamos ya?
415,Ni que te llamen a jugar en primera división jugando en la tercera
416,¿Y el pago será?
417,"Y Rieger, te juro por tu madre, como vuelva a pillarte cerca de la niña"
418,"Lo siento, no quiero confundirme"
419,¿Esa es la ecuación para crear el oro?
420,"Puede ser. Necesitaré collares de oro, brazaletes de diamantes, y de esmeraldas"
421,Sabías que mentía
422,"Pues, tú sabrás"
423,"¿Son diamantes genuinos, verdad?"
424,"¿Eh, cómo es que no tenemos un entrenador?"
425,"¡Muy bien! Disculpe, perdón. Ustedes lucen geniales. ¡Sow, este juego es genial!"
426,"No, Lana. Mirad, como tenga que parar, nos van a matar a todos, así que"
427,Ya tenemos joyas de porquería. Ahora nos queda buscar ancianos
428,"Abuelo, ¿cuánto gastaste en eso?"
429,Sobre todo hago improvisaciones
430,Muy buenas
431,"Muy buena elección. Es muy hermosa, miren es muy hermosa"
432,"Sí amigo, es una réplica de la corbata del Rey Enrique V"
433,Callaos los dos. ¿Por qué aviso a navegantes? Esto es un bebé
434,"Oh, sí, porque tengo mucho tiempo para eso, Sharon. De hecho por qué no preparas una cena de cuatro platos para todos, mejor una cena de siete platos."
435,Eres un monstruo
436,"Es broma, son sus tres días libres anuales. Suelen ser dos, pero le he dejado recuperar uno del año pasado"
437,"Oh, sí, buena esa"
438,"Bien, aquí vamos. Miren como van a patear. Las jugadas especiales son las más importantes"
439,¿No lo recuerdas? ¿Pero recuerdas el número de tu tarjeta de crédito?
440,Nueve dólares
441,"Entrenador, victoria de tres a cero sobre los Astillero, se debe sentir un ganador"
442,¿La ibas a convertir en un robot?
443,Vale te llamo cuando resuelven lo del topo para que lo lleves al nuevo piso franco
444,"Eh, salgan del campo, m'Kai"
445,"¿Te puñalada por la espalda, no harás ninguna tontería en plan de venganza cuando abra la puerta?"
446,"No Eric, eres un jugador genial"
447,"No soy abogada laboralista, pero"
448,¡Te voy a matar!
449,"Tiene razón, chicos, a partir de ahora eres el capitán Cutters. ¡Llévanos a la victoria!"
450,Uh
451,"Está claro que él cree tener un plan así que, pues, venga ¡qué hable!"
452,"Espera Vivian, te comunicamos con un representante y saludarás a él. Gracias por comprar con nosotros y felicitaciones por estos aretes fax de catorce quilates. A ese precio fue prácticamente un robo"
453,"Coronel Cristiano, si no te importa"
454,¿Perdón?
455,"Mi cremosidad no sale todas las noches, pero va seguro de estar abastecido"
456,"Entonces, fuimos a la India, que es hermosa, creo, nunca había ido. Y aprendimos que quien lo fundió, lo negó, lo rimó y de hecho lo proveyó"
457,"Lo siento, señor Marso, pero parece que hay un daño permanente"
458,Nosotros ya no pateamos más
459,"Bueno, no vamos a poner un par de novatos sin experiencia en la lineación inicial de la amenaza…"
460,"Pero, oiga, ¿son necesarias las armas? Lo pregunto totalmente en serio"
461,"Sí, tengo literalmente miles de armas"
462,Y hablando de… cago la leche
463,"Papá, no deberías gastar el dinero de tu jubilación en frivolidades. Deberías guardarlo para cuando te mueras y ese dinero es nuestro"
464,Amo el sarcasmo bol. Es mucho mejor que el futbol. Me alegra que no haya violencia en los deportes. Y el sarcasmo bol es más divertido para ver
465,¿De verdad?
466,"No, no para nada"
467,"Mali tiene el globo. Está diciendo cosas muy lindas sobre el otro equipo. Balín se encuentra con G Woody. Le entrega el globo a Woody. El árbitro se acerca. El árbitro decide que es una notación. Espera, ahora se acerca otro árbitro y señala que es un punto en contra"
468,"¡Qué buen ojo! ¡Es muy listo! ¿Se aprovecha de mí, le gusta joder a mujeres asiáticas?"
469,"Lo iba a hacer, pero mujer, no soy un monstruo. Has sido madre"
470,¡Cállate! Cuenta era un traidor. Iba a vender el disco a los rusos
471,Eh 37 15
472,"¡No me jodas, Civil!"
473,"Sí es lo más lógico, claro, aunque seguro que son muy viejos"
474,"Así, básicamente lo más cañero"
475,"Oh, sí Archero, tengo una hermana"
476,Ese niño nos quiere provocar. Dice cosas feas para que nos enojemos
477,¡Bien hecho!
478,Una importante misión para ISIS que podemos. Encestar de un chupe para hacer carambola
479,"Pero, ¿qué te pasa?"
480,¿Qué está haciendo?
481,"Ya, hola. ¿Un mexicano negro?"
482,"Rieger, los conductos de aire siguen con gas nervioso?"
483,"¿Entonces, el plan de Cuenta no te parece innecesariamente complicado?"
484,"Sí, no me gusta que se aprovechen de mí"
485,Sí
486,Sí lo soy
